scrape_date,reit,macro_market,beds,listing_count,avg_rent,median_rent,avg_sqft,rent_per_sqft,concession_rate,avg_concession_value,sp_count,sp_avg_rent_curr,sp_avg_rent_prev,sp_wow_pct,sp_concession_rate_curr,sp_concession_rate_prev,avg_rent_psf,median_rent_psf,avg_eff_rent,avg_eff_rent_psf,sp_avg_rent_psf_curr,sp_avg_rent_psf_prev,sp_wow_pct_psf,sp_avg_eff_rent_curr,sp_avg_eff_rent_prev,sp_wow_pct_eff,sp_avg_eff_rent_psf_curr,sp_avg_eff_rent_psf_prev,sp_wow_pct_eff_psf,sp_count_prev,sp_count_curr
2026-03-28,AVB,Boston,2,294,3644.343537414966,3470.0,1190.687074829932,3.1040890253367137,0.8469387755102041,664.433734939759,,,,,,,3.1040890253367137,2.996910825941328,3381.2740476190475,2.873750049128689,,,,,,,,,,,
2026-03-28,AVB,Boston,3,41,5093.90243902439,4600.0,1522.5853658536585,3.394342538509629,0.8536585365853658,950.5714285714286,,,,,,,3.394342538509629,2.868679775280899,4919.930487804878,3.2826820760836806,,,,,,,,,,,
2026-03-28,AVB,Charlotte,0,31,1533.7096774193549,1555.0,605.8709677419355,2.536907510557529,1.0,1.7419354838709677,,,,,,,2.536907510557529,2.5702479338842976,1309.5909677419354,2.1659782432232517,,,,,,,,,,,
2026-03-28,AVB,Charlotte,1,274,1639.0036496350365,1655.0,795.5474452554745,2.0643609511164387,1.0,139.5912408759124,,,,,,,2.0643609511164387,2.0107671601615076,1399.883613138686,1.763669925738295,,,,,,,,,,,
2026-03-28,AVB,Charlotte,2,234,2084.931623931624,2250.0,1241.08547008547,1.6739642435687323,1.0,122.2008547008547,,,,,,,1.6739642435687323,1.6499642090193272,1775.813205128205,1.4264767489500576,,,,,,,,,,,
2026-03-28,AVB,Charlotte,3,67,2616.805970149254,2545.0,1690.8955223880596,1.5726241758177781,1.0,62.21641791044776,,,,,,,1.5726241758177781,1.3882921589688506,2223.8920895522388,1.3395928659616738,,,,,,,,,,,
2026-03-28,AVB,Dallas/Fort Worth,1,175,1395.422857142857,1360.0,764.1028571428571,1.8356174430188645,0.9714285714285714,95.05294117647058,,,,,,,1.8356174430188645,1.813793103448276,1285.0345142857143,1.6897114149620227,,,,,,,,,,,
2026-03-28,AVB,Dallas/Fort Worth,2,114,1839.7543859649122,1735.0,1151.421052631579,1.59567939327338,0.9736842105263158,162.95945945945945,,,,,,,1.59567939327338,1.5628461730188135,1711.0277192982458,1.4831970241297383,,,,,,,,,,,
2026-03-28,AVB,Dallas/Fort Worth,3,25,2352.2,2185.0,1544.84,1.5280542405904258,1.0,140.9,,,,,,,1.5280542405904258,1.508785332314744,2172.924,1.4099475801359285,,,,,,,,,,,
2026-03-28,AVB,Denver,0,30,1549.1666666666667,1520.0,589.4333333333333,2.67145539075567,0.9333333333333333,287.875,,,,,,,2.67145539075567,2.734241908006814,1269.4583333333333,2.1882869664580364,,,,,,,,,,,
2026-03-28,AVB,Denver,1,121,1734.7685950413222,1691.0,738.8181818181819,2.373118808603,0.8677685950413223,943.0380952380953,,,,,,,2.373118808603,2.332904884318766,1497.4395867768594,2.047127795626918,,,,,,,,,,,
2026-03-28,AVB,Denver,2,75,2246.96,2240.0,1108.16,2.03197225656348,0.7866666666666666,543.9745762711865,,,,,,,2.03197225656348,2.014072119613017,1977.4647999999997,1.7889573483789263,,,,,,,,,,,
2026-03-28,AVB,Denver,3,10,2587.6,2490.0,1339.6,1.9184552991768204,1.0,1.95,,,,,,,1.9184552991768204,1.8920247252965345,2172.819,1.6083205233404947,,,,,,,,,,,
2026-03-28,AVB,Los Angeles,0,84,1944.345238095238,1855.0,441.0357142857143,4.426623843921668,0.8214285714285714,726.3840579710145,,,,,,,4.426623843921668,4.389671361502347,1849.0891666666666,4.214031862126745,,,,,,,,,,,
2026-03-28,AVB,Los Angeles,1,293,2612.085324232082,2640.0,720.7610921501706,3.641322742274062,0.6757679180887372,341.0808080808081,,,,,,,3.641322742274062,3.592896174863388,2529.387747440273,3.522353938585738,,,,,,,,,,,
